Ecm (MeV) cross (mb)
0.497	2.87E-11
0.498	3.24E-11
0.499	3.67E-11
0.5	4.18E-11
0.501	4.78E-11
0.502	5.49E-11
0.503	6.34E-11
0.504	7.36E-11
0.505	8.58E-11
0.506	1.00E-10
0.507	1.18E-10
0.508	1.39E-10
0.509	1.63E-10
0.51	1.91E-10
0.511	2.22E-10
0.512	2.54E-10
0.513	2.86E-10
0.514	3.13E-10
0.515	3.33E-10
0.516	3.44E-10
0.517	3.44E-10
0.518	3.36E-10
0.519	3.23E-10
0.52	3.06E-10
0.521	2.88E-10
0.522	2.70E-10
0.523	2.53E-10
0.524	2.38E-10
0.525	2.25E-10
0.526	2.14E-10
0.527	2.04E-10
0.528	1.96E-10
0.529	1.90E-10
0.53	1.85E-10
0.531	1.81E-10
0.532	1.78E-10
0.533	1.76E-10
0.534	1.75E-10
0.535	1.75E-10
0.536	1.76E-10
0.537	1.77E-10
0.538	1.79E-10
0.539	1.82E-10
0.54	1.85E-10
0.541	1.89E-10
0.542	1.94E-10
0.543	1.99E-10
0.544	2.05E-10
0.545	2.12E-10
0.546	2.19E-10
0.547	2.27E-10
0.548	2.36E-10
0.549	2.45E-10
0.55	2.55E-10
0.551	2.66E-10
0.552	2.78E-10
0.553	2.91E-10
0.554	3.05E-10
0.555	3.20E-10
0.556	3.36E-10
0.557	3.54E-10
0.558	3.72E-10
0.559	3.92E-10
0.56	4.13E-10
0.561	4.36E-10
0.562	4.60E-10
0.563	4.86E-10
0.564	5.14E-10
0.565	5.44E-10
0.566	5.76E-10
0.567	6.10E-10
0.568	6.46E-10
0.569	6.85E-10
0.57	7.26E-10
0.571	7.71E-10
0.572	8.18E-10
0.573	8.68E-10
0.574	9.22E-10
0.575	9.79E-10
0.576	1.04E-09
0.577	1.11E-09
0.578	1.17E-09
0.579	1.25E-09
0.58	1.32E-09
0.581	1.41E-09
0.582	1.49E-09
0.583	1.59E-09
0.584	1.68E-09
0.585	1.79E-09
0.586	1.90E-09
0.587	2.01E-09
0.588	2.13E-09
0.589	2.26E-09
0.59	2.39E-09
0.591	2.53E-09
0.592	2.67E-09
0.593	2.82E-09
0.594	2.98E-09
0.595	3.14E-09
0.596	3.31E-09
0.597	3.49E-09
0.598	3.67E-09
0.599	3.86E-09
0.6	4.06E-09
0.601	4.26E-09
0.602	4.48E-09
0.603	4.70E-09
0.604	4.93E-09
0.605	5.18E-09
0.606	5.43E-09
0.607	5.70E-09
0.608	5.99E-09
0.609	6.29E-09
0.61	6.62E-09
0.611	6.96E-09
0.612	7.34E-09
0.613	7.74E-09
0.614	8.18E-09
0.615	8.66E-09
0.616	9.18E-09
0.617	9.76E-09
0.618	1.04E-08
0.619	1.11E-08
0.62	1.19E-08
0.621	1.28E-08
0.622	1.38E-08
0.623	1.49E-08
0.624	1.62E-08
0.625	1.76E-08
0.626	1.92E-08
0.627	2.11E-08
0.628	2.31E-08
0.629	2.55E-08
0.63	2.82E-08
0.631	3.13E-08
0.632	3.47E-08
0.633	3.85E-08
0.634	4.27E-08
0.635	4.73E-08
0.636	5.22E-08
0.637	5.73E-08
0.638	6.25E-08
0.639	6.74E-08
0.64	7.20E-08
0.641	7.58E-08
0.642	7.87E-08
0.643	8.06E-08
0.644	8.14E-08
0.645	8.11E-08
0.646	7.99E-08
0.647	7.80E-08
0.648	7.55E-08
0.649	7.27E-08
0.65	6.97E-08
0.651	6.66E-08
0.652	6.36E-08
0.653	6.07E-08
0.654	5.80E-08
0.655	5.55E-08
0.656	5.31E-08
0.657	5.10E-08
0.658	4.90E-08
0.659	4.73E-08
0.66	4.57E-08
0.661	4.42E-08
0.662	4.29E-08
0.663	4.17E-08
0.664	4.07E-08
0.665	3.98E-08
0.666	3.90E-08
0.667	3.82E-08
0.668	3.76E-08
0.669	3.71E-08
0.67	3.66E-08
0.671	3.62E-08
0.672	3.58E-08
0.673	3.56E-08
0.674	3.53E-08
0.675	3.52E-08
0.676	3.51E-08
0.677	3.50E-08
0.678	3.50E-08
0.679	3.50E-08
0.68	3.51E-08
0.681	3.52E-08
0.682	3.54E-08
0.683	3.56E-08
0.684	3.58E-08
0.685	3.61E-08
0.686	3.64E-08
0.687	3.67E-08
0.688	3.71E-08
0.689	3.75E-08
0.69	3.79E-08
0.691	3.84E-08
0.692	3.90E-08
0.693	3.95E-08
0.694	4.01E-08
0.695	4.07E-08
0.696	4.14E-08
0.697	4.21E-08
0.698	4.29E-08
0.699	4.37E-08
0.7	4.45E-08
0.701	4.54E-08
0.702	4.63E-08
0.703	4.73E-08
0.704	4.83E-08
0.705	4.93E-08
0.706	5.04E-08
0.707	5.16E-08
0.708	5.28E-08
0.709	5.41E-08
0.71	5.54E-08
0.711	5.68E-08
0.712	5.82E-08
0.713	5.97E-08
0.714	6.13E-08
0.715	6.29E-08
0.716	6.46E-08
0.717	6.64E-08
0.718	6.83E-08
0.719	7.02E-08
0.72	7.23E-08
0.721	7.44E-08
0.722	7.66E-08
0.723	7.89E-08
0.724	8.13E-08
0.725	8.38E-08
0.726	8.65E-08
0.727	8.92E-08
0.728	9.21E-08
0.729	9.51E-08
0.73	9.83E-08
0.731	1.02E-07
0.732	1.05E-07
0.733	1.09E-07
0.734	1.12E-07
0.735	1.16E-07
0.736	1.20E-07
0.737	1.25E-07
0.738	1.29E-07
0.739	1.34E-07
0.74	1.39E-07
0.741	1.44E-07
0.742	1.50E-07
0.743	1.56E-07
0.744	1.62E-07
0.745	1.68E-07
0.746	1.75E-07
0.747	1.82E-07
0.748	1.90E-07
0.749	1.98E-07
0.75	2.06E-07
0.751	2.15E-07
0.752	2.24E-07
0.753	2.34E-07
0.754	2.44E-07
0.755	2.55E-07
0.756	2.67E-07
0.757	2.79E-07
0.758	2.92E-07
0.759	3.06E-07
0.76	3.20E-07
0.761	3.36E-07
0.762	3.52E-07
0.763	3.69E-07
0.764	3.87E-07
0.765	4.06E-07
0.766	4.26E-07
0.767	4.47E-07
0.768	4.70E-07
0.769	4.93E-07
0.77	5.18E-07
0.771	5.44E-07
0.772	5.71E-07
0.773	6.00E-07
0.774	6.30E-07
0.775	6.61E-07
0.776	6.93E-07
0.777	7.26E-07
0.778	7.60E-07
0.779	7.95E-07
0.78	8.31E-07
0.781	8.67E-07
0.782	9.03E-07
0.783	9.40E-07
0.784	9.77E-07
0.785	1.01E-06
0.786	1.05E-06
0.787	1.08E-06
0.788	1.12E-06
0.789	1.15E-06
0.79	1.18E-06
0.791	1.21E-06
0.792	1.24E-06
0.793	1.26E-06
0.794	1.29E-06
0.795	1.31E-06
0.796	1.33E-06
0.797	1.35E-06
0.798	1.36E-06
0.799	1.38E-06
0.8	1.39E-06
0.801	1.41E-06
0.802	1.42E-06
0.803	1.43E-06
0.804	1.44E-06
0.805	1.45E-06
0.806	1.46E-06
0.807	1.47E-06
0.808	1.48E-06
0.809	1.49E-06
0.81	1.50E-06
0.811	1.51E-06
0.812	1.52E-06
0.813	1.53E-06
0.814	1.55E-06
0.815	1.56E-06
0.816	1.58E-06
0.817	1.59E-06
0.818	1.61E-06
0.819	1.63E-06
0.82	1.65E-06
0.821	1.67E-06
0.822	1.69E-06
0.823	1.71E-06
0.824	1.74E-06
0.825	1.77E-06
0.826	1.80E-06
0.827	1.83E-06
0.828	1.86E-06
